,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
2857,U_Dgxod8PISrCnoZMUrIsQ,Maturango Museum of Indian Wells Valley,museums,Museums,35.6301725262259,-117.66936264681,100 East Las Flores Ave,Ridgecrest,CA,93555
2858,3ilI9vVG3v5OZgKCQ05PtA,China Lake Museum Foundation,museums,Museums,35.629848,-117.668096,130 E Las Flores Ave,Ridgecrest,CA,93555
2859,WYBxf3Wr857bKP3hgPUHVw,Kern Valley Museum,museums,Museums,35.755192,-118.426809,49 Big Blue Rd,Kernville,CA,93238
2860,gBVyK0QJ_cL0YtTsnaJNuA,Cerro Gordo Mines,historicaltours,Historical Tours,36.48648,-117.86692,,Keeler,CA,93530
2861,oQyCHB7-ps6v8WYL8VIq2A,Trona Pinnacles,landmarks,Landmarks & Historical Buildings,35.6181454057701,-117.3679605049,7 Miles Off State Rte 178,Trona,CA,93592
2862,E-gZxHepOxbEzFrjixGC7A,Searles Valley Historical Society,museums,Museums,35.7597389221191,-117.376907348633,13193 Main St,Trona,CA,93562
2863,g8SnAHUHpZSKW6Y1lYFd1w,Borax Museum,museums,Museums,36.456955,-116.866591,Hwy 190 South,Death Valley,CA,92328
2864,rlJyHXnbhKWybpTmfwbogA,Eastern Sierra Interagency Visitor Center,visitorcenters,Visitor Centers,36.5784024850269,-118.056050089617,US Hwy 395,Lone Pine,CA,93545
2865,qZJSTF7xWW-nMdRfac4EyA,Robber's Roost Ranch,landmarks,Landmarks & Historical Buildings,35.6081199645996,-117.899688720703,49901 Hwy 14,Inyokern,CA,93527
2866,WPLalH1ndhMbomY8O6r9ow,Randsburg Desert Museum,localflavor,Local Flavor,35.3679852,-117.6554568,161 Butte Ave,Randsburg,CA,93554
2867,bCXexOx6BVcAzbsRqGlM-w,Wild West Show Museum,museums,Museums,36.6052284240723,-118.063499450684,119 S Main St,Lone Pine,CA,93545
2868,ueyRAkbeg0XWKPvcCUFSwA,De La Cour Ranch,horsebackriding,Horseback Riding,36.50457,-118.10278,5000 Horseshoe Meadows,Lone Pine,CA,93545
2869,Mav3GtchyyJ7Y6noOpbn3A,Furnace Creek Visitor Center,visitorcenters,Visitor Centers,36.4614514870414,-116.866605490106,Death Valley National Park,Death Valley,CA,92328
2870,pR857CWQllIEpDtRbEXU_Q,2016 Lone Pine Film Festival,festivals,Festivals,36.6009288862363,-118.06163071712,479 S Main,Lone Pine,CA,93545
2871,txgf-Fq6dC_45PhwdxyQvQ,International Agri-Center,museums,Museums,36.1661421,-119.3266017,4500 S Laspina St,Tulare,CA,93274
2872,5TqLclnPla4vSDS6SbzFTA,The Museum of Western Film History,museums,Museums,36.6008798,-118.0616904,701 S Main St,Lone Pine,CA,93545
2873,WYBxf3Wr857bKP3hgPUHVw,Kern Valley Museum,museums,Museums,35.755192,-118.426809,49 Big Blue Rd,Kernville,CA,93238
2874,U_Dgxod8PISrCnoZMUrIsQ,Maturango Museum of Indian Wells Valley,museums,Museums,35.6301725262259,-117.66936264681,100 East Las Flores Ave,Ridgecrest,CA,93555
2875,3ilI9vVG3v5OZgKCQ05PtA,China Lake Museum Foundation,museums,Museums,35.629848,-117.668096,130 E Las Flores Ave,Ridgecrest,CA,93555
2876,xQOvwoA1ulKSZsLnMF2RjQ,Silver City Ghost Town & Antique Village,antiques,Antiques,35.59763,-118.49136,3829 Lake Isabella Blvd,Bodfish,CA,93205
2877,gBVyK0QJ_cL0YtTsnaJNuA,Cerro Gordo Mines,historicaltours,Historical Tours,36.48648,-117.86692,,Keeler,CA,93530
