zip_code,life_exp,count
90846,81.2,506
91001,79.98571429,437
91006,83.22,480
91007,84.26666667,478
91008,80.5,0
91010,80.65,480
91011,83.78,427
91016,82.27,478
91017,76.7,443
91020,81.5,412
91024,83.43333333,462
91030,84.24285714,453
91040,79.6,392
91042,80.06666667,395
91043,82.5,443
91046,82.7,443
91066,82.4,443
91077,83.3,443
91101,82.16666667,446
91103,81.61666667,434
91104,80.91428571,443
91105,81,441
91106,83.18333333,453
91107,83.21,462
91108,85.2,471
91115,82.4,443
91121,81,443
91124,80.2,443
91185,82.5,443
91201,83.2,396
91202,83.7,404
91203,79.775,403
91204,82.08333333,410
91205,81.3,414
91206,84.8,426
91207,83.35,412
91208,87.5,416
91210,79.2,443
91214,82.64,397
91226,80.6,443
91301,81.65,205
91302,82.7,338
91303,81.125,366
91304,81.97272727,354
91306,82.16,369
91307,81.56,347
91311,80.7875,363
91313,80.4,443
91316,81.93333333,376
91319,88.9,46
91320,82.75,62
91321,82.1875,350
91324,82.9875,367
91325,82.10833333,372
91326,84.02,371
91327,86.6,443
91328,82.5,443
91331,80.24615385,382
91334,85.4,443
91335,81.78181818,374
91337,80.5,443
91340,80.76666667,377
91342,79.7826087,376
91343,79.1,375
91344,82.21538462,368
91345,81.2,375
91350,82.35714286,178
91351,80.45,359
91352,79.31111111,389
91353,75.9,443
91354,81.8,130
91355,82.7,170
91356,83.06666667,375
91357,80.1,443
91360,82.07,69
91361,82.8,70
91362,83.71666667,73
91364,82.6,367
91367,82.63333333,361
91376,81.6,443
91377,82.7,137
91381,82.3,205
91383,79.8,443
91384,82.35,51
91387,79.48571429,367
91390,79.83333333,209
91392,78.1,443
91394,79.4,443
91395,80.5,443
91401,79.76666667,382
91402,80.50714286,381
91403,83.5125,378
91405,79.81538462,382
91406,79.9,375
91411,79.05,377
91412,81.8,443
91423,84.275,383
91436,84.96666667,379
91496,79.9,443
91501,82.625,393
91502,81.375,395
91503,82.6,443
91504,81.22,391
91505,80.38,393
91506,79.15,396
91521,80.8,443
91601,79.43,391
91602,80.1,391
91604,80.05714286,388
91605,79.56666667,384
91606,80.02857143,386
91607,79.78333333,387
91615,80.1,443
91701,80.98571429,185
91702,78.55,489
91706,81.02222222,509
91708,80.45,1
91709,82.06428571,348
91710,79.13,304
91711,81.26666667,305
91722,79.38,511
91723,80.13333333,513
91724,80.02,522
91729,80,1
91730,80.05,195
91731,83.53333333,507
91732,80.79,513
91733,80.82727273,513
91734,83,443
91737,81.38,172
91739,80.74,156
91740,80.21428571,501
91741,81.875,494
91744,80.73157895,534
91745,83.83333333,533
91746,80,521
91747,86.2,443
91748,84.83333333,537
91750,80.58571429,454
91752,77.7,197
91754,83.7375,486
91755,86.45,491
91756,81.4,443
91761,79.15,228
91762,79.44666667,276
91763,80.45714286,291
91764,79.275,219
91765,85.01111111,540
91766,78.44,465
91767,79.05,414
91768,80.46666667,507
91769,76.8,443
91770,82.95625,498
91773,80.78333333,513
91775,85.62,472
91776,83.51666667,480
91780,83.675,488
91784,82.2,253
91786,79.54166667,252
91788,81.7,443
91789,83.34615385,548
91790,81.39090909,519
91791,82.0375,523
91792,81.3875,536
91793,79.9,443
91801,83.55454545,476
91803,81.88333333,475
91901,81.3,67
91902,82.15,53
