,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
5122,ANfsCWoIt1GUw6GjOjAg4A,National Date Festival & Riverside County Fair,festivals,Festivals,33.706583,-116.224878,46350 Arabia St,Indio,CA,92201
5123,CyZM8pZuKpNrOwhBY41p4Q,Fantasy Springs Resort Casino,casinos,Casinos,33.7217874,-116.1943388,84245 Indio Springs Dr,Indio,CA,92203
5124,LCwBizOYtjztWZMx8CrsAw,Chuckwalla Valley Raceway,driving_schools,Driving Schools,33.7532673416844,-115.321596211145,25300 Rice Rd,Desert Center,CA,92239
5125,XPDuiIrh1PZvqo7-jBOXMg,Mariachi Real de San Diego,theater,Performing Arts,32.648478,-116.989095,1784 Hampton Ct,Bonita,CA,91902
5126,qDbAsBT7oR09cpNRq5xRQw,General Patton Memorial Museum,museums,Museums,33.661694,-115.722596,62510 Chiriaco Rd,Indio,CA,92201
5127,T9E986cctsNURWlJZ5lO0A,International Banana Museum,museums,Museums,33.5278673,-115.9423288,98775 Hwy 111,Mecca,CA,92254
5128,zoxh4T2SnnNHzkapV4CFkQ,West Coast Vietnam Wall,landmarks,Landmarks & Historical Buildings,33.72592,-116.22145,General Patton Memorial Museum,Indio,CA,92201
5129,1bhcAAa24QQZBjSL_gT04Q,Salton Sea State Recreation Area,landmarks,Landmarks & Historical Buildings,33.434539,-115.829363,100-225 State Park Rd,Mecca,CA,92254
5130,p0p7YpHxT1CEtHbm9lMlyw,Ruins of Bombay Beach,galleries,Art Galleries,33.3481671463826,-115.72957617074,9500 Ave E,Niland,CA,92257
5131,LCwBizOYtjztWZMx8CrsAw,Chuckwalla Valley Raceway,driving_schools,Driving Schools,33.7532673416844,-115.321596211145,25300 Rice Rd,Desert Center,CA,92239
5132,XPDuiIrh1PZvqo7-jBOXMg,Mariachi Real de San Diego,theater,Performing Arts,32.648478,-116.989095,1784 Hampton Ct,Bonita,CA,91902
5133,qDbAsBT7oR09cpNRq5xRQw,General Patton Memorial Museum,museums,Museums,33.661694,-115.722596,62510 Chiriaco Rd,Indio,CA,92201
5134,T9E986cctsNURWlJZ5lO0A,International Banana Museum,museums,Museums,33.5278673,-115.9423288,98775 Hwy 111,Mecca,CA,92254
5135,GUPcuoTFeu7sRxcSagjLrA,Palo Verde Historical Museum & Society,museums,Museums,33.6113929748535,-114.596405029297,150 N Broadway,Blythe,CA,92225
